r/R,Chord (m),Area (m^2),Centroid X (m),Centroid Y (m),I_xx (m^4),I_yy (m^4)
0.071977,0.12895520000000002,0.0010169072390192205,0.052587047945627546,0.004119422532540019,9.786585780086703e-09,8.579018262171745e-07
0.10153,0.1422064,0.0012364238209842003,0.057995015003998826,0.004541998271700083,1.4465024589167136e-08,1.2684684917436585e-06
0.14489,0.167488,0.0017151277446735777,0.06830542839836852,0.005349479394250212,2.7834113490938075e-08,2.4408320733386956e-06
0.19244,0.191424,0.0022403808567153715,0.07806707540677121,0.006113982754376151,4.7492841613477925e-08,4.164747373826454e-06
0.24124,0.20859200000000003,0.0026602617828581226,0.0850685775725574,0.006662319723236536,6.696273753343791e-08,5.872103580499833e-06
0.29022,0.21838400000000002,0.002915887149484384,0.08906197862144939,0.00697507109783351,8.044996748184811e-08,7.0548271994608425e-06
0.33888,0.22190400000000002,0.003010643557984098,0.09049751494621448,0.0070874980625579105,8.576362524728244e-08,7.520793047621942e-06
0.38691,0.22062400000000004,0.0029760113800868532,0.08997550173720902,0.007046615529930856,8.380185348285234e-08,7.348761147099926e-06
0.43406,0.215904,0.0028500367234218227,0.08805057802900125,0.00689586119086859,7.685734202909622e-08,6.739782301931606e-06
0.48016,0.208816,0.002665978383659775,0.08515992988413333,0.006669474166446268,6.725083740210846e-08,5.897367665163588e-06
0.52504,0.20017600000000002,0.002449926710110951,0.08163634072334627,0.006393517071213646,5.679245390294551e-08,4.98024997473153e-06
0.56856,0.19052800000000003,0.0022194568005459406,0.07770166616046738,0.006085364981537214,4.660986464327859e-08,4.087317262406391e-06
0.61057,0.180256,0.001986591341113193,0.07351251015819829,0.005757282657205091,3.734233970492185e-08,3.274628468945379e-06
0.65097,0.169664,0.001759983038964788,0.06919285085367785,0.0054189796997162094,2.9309027883236452e-08,2.5701704248303954e-06
0.68961,0.15888960000000002,0.0015435475847130672,0.06479880466687417,0.00507485098132797,2.2543663541249588e-08,1.9769013674515855e-06
0.7264,0.1480768,0.0013406120546748368,0.060389098083800274,0.0047294957869609185,1.7005550268345116e-08,1.491252542792997e-06
0.76123,0.1372944,0.0011524835257259653,0.05599178931444025,0.0043851115527437584,1.2567644898692007e-08,1.1020832678952003e-06
0.794,0.1265904,0.000979784632347806,0.05162645385413183,0.004043231373650006,9.083342617799467e-09,7.965374576009891e-07
0.82461,0.11599200000000001,0.0008225932714279147,0.04730418448356637,0.0037047240034979883,6.402576180802574e-09,5.614553989364585e-07
0.85298,0.10551360000000001,0.0006806846560840489,0.04303085385134516,0.0033700493707797536,4.38405880463563e-09,3.8444735612798977e-07
0.87902,0.09516160000000001,0.0005536719857219598,0.03880907202351324,0.0030394118881584414,2.9006113963595136e-09,2.5436072648159064e-07
0.90268,0.0849376,0.00044109186666905543,0.03463949151658189,0.0027128626587998366,1.8409523546464938e-09,1.6143699184716232e-07
0.92387,0.0748416,0.0003424642216599595,0.030522112330551077,0.002390401682703936,1.109723699818281e-09,9.731401001660767e-08
0.94255,0.064872,0.0002573022914462036,0.02645628194890955,0.0020719778567049574,6.264288586961809e-10,5.4932866838686705e-08
0.95866,0.0550352,0.0001851868639573367,0.022444610437702357,0.0017577955934660358,3.2449260463092505e-10,2.8455440379023957e-08
0.97215,0.0453408,0.0001256919419933261,0.018491012895997014,0.0014481615119818739,1.4948558717287753e-10,1.310870618502785e-08
0.98299,0.035832,7.850027496419398e-05,0.014613107269597471,0.0011444553977286356,5.830782007170561e-11,5.113135627754627e-09
0.99114,0.026643200000000002,4.340121112650877e-05,0.010865704945449303,0.0008509699166321606,1.782330121185082e-11,1.562962846466274e-09
0.99659,0.0183152,2.0509374249049556e-05,0.007469356504357325,0.0005849779387273806,3.980056791796456e-12,3.490195681744662e-10
0.99932,0.01268784,9.842478295441991e-06,0.005174390682615806,0.0004052429943491094,9.16628551213801e-13,8.038108948104403e-11
